config_name,wing_mode,broken_wing_extra_width,butterfly_width,coverage_band_width,center_tolerance,recenter_threshold,drift_persistence_bars,rebuild_cooldown_minutes,net_dollar_pnl,return_on_capital,max_drawdown_dollars,corridor_occupancy_rate,average_rebuilds_per_day,closed_layers,win_rate_by_closed_layer,profit_factor_by_closed_layer,profit_factor_by_day,best_day_pnl_dollars,worst_day_pnl_dollars,max_gross_deployment_dollars,max_modeled_capital_at_risk_dollars
broken_upper_bw20_w60_tol15_rt18_dp10_cd90,broken_upper,20.0,60.0,120.0,15.0,18.0,10,90,73140.833,0.731408,-5562.9,0.656,0.212,481,0.945946,8.175249,9.087683,966.2662,-2775.1995,6801.2,6812.4
symmetric_bw0_w60_tol10_rt14_dp8_cd60,symmetric,0.0,60.0,120.0,10.0,14.0,8,60,54083.2631,0.540833,-4121.54,0.5177,0.656,623,0.890851,7.316457,8.555503,1068.1583,-3149.5613,4777.8,4794.6
symmetric_bw0_w60_tol10_rt14_dp8_cd90,symmetric,0.0,60.0,120.0,10.0,14.0,8,90,51808.7753,0.518088,-4121.54,0.5177,0.552,599,0.874791,6.857394,8.116898,1068.1583,-3149.5613,4777.8,4794.6
symmetric_bw0_w60_tol10_rt16_dp8_cd60,symmetric,0.0,60.0,120.0,10.0,16.0,8,60,51495.6039,0.514956,-4121.54,0.5177,0.58,599,0.884808,7.02495,8.194003,983.3991,-3149.5613,4777.8,4794.6
symmetric_bw0_w60_tol10_rt16_dp8_cd90,symmetric,0.0,60.0,120.0,10.0,16.0,8,90,49402.6681,0.494027,-4121.54,0.5177,0.492,578,0.870242,6.591249,7.759308,895.5121,-3149.5613,4777.8,4794.6
symmetric_bw0_w60_tol10_rt14_dp10_cd60,symmetric,0.0,60.0,120.0,10.0,14.0,10,60,47945.1874,0.479452,-4131.179999999999,0.5177,0.532,589,0.877759,5.092753,5.585061,1068.1583,-3159.1995,4777.8,4794.6
symmetric_bw0_w60_tol12p5_rt14_dp8_cd60,symmetric,0.0,60.0,120.0,12.5,14.0,8,60,47811.9915,0.47812,-4221.51,0.5972,0.488,574,0.867596,6.349926,7.101904,1045.2978,-3151.4469,4777.8,4794.6
symmetric_bw0_w60_tol10_rt18_dp8_cd60,symmetric,0.0,60.0,120.0,10.0,18.0,8,60,47308.4995,0.473085,-4121.54,0.5177,0.484,565,0.877876,6.527814,7.521452,981.3546,-3149.5613,4777.8,4794.6
symmetric_bw0_w60_tol12p5_rt14_dp8_cd90,symmetric,0.0,60.0,120.0,12.5,14.0,8,90,46325.287,0.463253,-4221.51,0.5972,0.424,560,0.857143,6.023107,6.869983,1045.2978,-3151.4469,4777.8,4794.6
symmetric_bw0_w60_tol12p5_rt16_dp8_cd60,symmetric,0.0,60.0,120.0,12.5,16.0,8,60,46002.6705,0.460027,-4221.51,0.5972,0.444,559,0.864043,6.161441,6.870993,982.4805,-3151.4469,4777.8,4794.6
