timestamp,symbol,action,state,price,center_price,layer_id,detail,kind,lower_strike,body_strike,upper_strike,width,dte,entry_cost,friction_cost,close_value,realized_pnl,drift_distance
2025-09-10T14:05:00+00:00,SPY,ABORTED,DRIFTING,654.23,651.0,208.0,Regime turned TREND_UP.,PRIMARY,646.0,651.0,656.0,5.0,5.0,1.156,,1.544,0.388,
2025-09-10T14:05:00+00:00,SPY,ABORTED,DRIFTING,654.23,652.0,209.0,Regime turned TREND_UP.,SUPPLEMENTAL,647.0,652.0,657.0,5.0,5.0,1.156,,1.6469,0.4909,
2025-09-10T14:30:00+00:00,SPY,ENTER_PRIMARY,ACTIVE_CENTERED,653.64,652.0,210.0,Opened the primary butterfly corridor layer.,PRIMARY,647.0,652.0,657.0,5.0,5.0,1.156,0.056,,,
2025-09-10T14:40:00+00:00,SPY,ADD_SUPPLEMENTAL,ACTIVE_CENTERED,653.82,653.0,211.0,Added a supplemental butterfly layer near the edge of the corridor.,SUPPLEMENTAL,648.0,653.0,658.0,5.0,5.0,1.156,0.056,,,
2025-09-10T19:35:00+00:00,SPY,SESSION_FLUSH,ACTIVE_CENTERED,650.82,652.0,210.0,Session window closed.,PRIMARY,647.0,652.0,657.0,5.0,5.0,1.156,,1.8346,0.6786,
2025-09-10T19:35:00+00:00,SPY,SESSION_FLUSH,ACTIVE_CENTERED,650.82,653.0,211.0,Session window closed.,SUPPLEMENTAL,648.0,653.0,658.0,5.0,5.0,1.156,,1.7161,0.5601,
2025-09-11T13:45:00+00:00,SPY,ENTER_PRIMARY,ACTIVE_CENTERED,654.47,652.0,212.0,Opened the primary butterfly corridor layer.,PRIMARY,647.0,652.0,657.0,5.0,5.0,1.156,0.056,,,
2025-09-11T13:50:00+00:00,SPY,DRIFT_STARTED,DRIFTING,655.11,652.0,,Corridor drift started.,,,,,,,,,,,3.11
2025-09-11T14:00:00+00:00,SPY,DRIFT_RESOLVED,ACTIVE_CENTERED,655.72,653.0,,Drift resolved without rebuilding.,,,,,,,,,,,
2025-09-11T14:05:00+00:00,SPY,ADD_SUPPLEMENTAL,ACTIVE_CENTERED,655.94,654.0,213.0,Added a supplemental butterfly layer near the edge of the corridor.,SUPPLEMENTAL,649.0,654.0,659.0,5.0,5.0,1.156,0.056,,,
2025-09-11T14:30:00+00:00,SPY,ABORTED,ACTIVE_CENTERED,656.55,652.0,212.0,Regime turned TREND_UP.,PRIMARY,647.0,652.0,657.0,5.0,5.0,1.156,,1.4099,0.2539,
2025-09-11T14:30:00+00:00,SPY,ABORTED,ACTIVE_CENTERED,656.55,654.0,213.0,Regime turned TREND_UP.,SUPPLEMENTAL,649.0,654.0,659.0,5.0,5.0,1.156,,1.6158,0.4598,
2025-09-11T15:00:00+00:00,SPY,ENTER_PRIMARY,ACTIVE_CENTERED,656.77,654.0,214.0,Opened the primary butterfly corridor layer.,PRIMARY,649.0,654.0,659.0,5.0,5.0,1.156,0.056,,,
2025-09-11T15:05:00+00:00,SPY,ADD_SUPPLEMENTAL,ACTIVE_CENTERED,656.59,655.0,215.0,Added a supplemental butterfly layer near the edge of the corridor.,SUPPLEMENTAL,650.0,655.0,660.0,5.0,5.0,1.156,0.056,,,
2025-09-11T15:15:00+00:00,SPY,DRIFT_STARTED,DRIFTING,657.47,654.0,,Corridor drift started.,,,,,,,,,,,3.47
2025-09-11T15:45:00+00:00,SPY,DRIFT_RESOLVED,ACTIVE_CENTERED,656.78,655.0,,Drift resolved without rebuilding.,,,,,,,,,,,
2025-09-11T19:35:00+00:00,SPY,SESSION_FLUSH,ACTIVE_CENTERED,658.06,654.0,214.0,Session window closed.,PRIMARY,649.0,654.0,659.0,5.0,5.0,1.156,,1.4954,0.3394,
2025-09-11T19:35:00+00:00,SPY,SESSION_FLUSH,ACTIVE_CENTERED,658.06,655.0,215.0,Session window closed.,SUPPLEMENTAL,650.0,655.0,660.0,5.0,5.0,1.156,,1.6094,0.4534,
2025-09-12T13:45:00+00:00,SPY,ENTER_PRIMARY,ACTIVE_CENTERED,657.56,658.0,216.0,Opened the primary butterfly corridor layer.,PRIMARY,653.0,658.0,663.0,5.0,5.0,1.156,0.056,,,
2025-09-12T19:35:00+00:00,SPY,SESSION_FLUSH,ACTIVE_CENTERED,657.29,658.0,216.0,Session window closed.,PRIMARY,653.0,658.0,663.0,5.0,5.0,1.156,,1.9024,0.7464,
2025-09-15T13:45:00+00:00,SPY,ENTER_PRIMARY,ACTIVE_CENTERED,660.19,658.0,217.0,Opened the primary butterfly corridor layer.,PRIMARY,653.0,658.0,663.0,5.0,5.0,1.156,0.056,,,
