timestamp,symbol,action,state,price,center_price,layer_id,detail,kind,lower_strike,body_strike,upper_strike,width,dte,entry_cost,entry_debit,friction_cost,entry_friction_cost,contracts_per_layer,option_multiplier,drift_distance,close_value,gross_close_value,realized_pnl,gross_realized_pnl,close_friction_cost,stress_profile,drift_count,primary_return_pct
2025-06-30T14:35:00+00:00,SPX,DRIFT_RESOLVED,ACTIVE_CENTERED,6181.94,6165.0,,Drift resolved without rebuilding.,,,,,,,,,,,,,,,,,,,,,
2025-06-30T14:40:00+00:00,SPX,ADD_SUPPLEMENTAL,ACTIVE_CENTERED,6181.79,6175.0,87.0,Added a supplemental butterfly layer near the edge of the corridor.,SUPPLEMENTAL,6115.0,6175.0,6235.0,60.0,7.0,15.926,15.84,0.086,0.086,1.0,100.0,,,,,,,,,
2025-06-30T19:35:00+00:00,SPX,SESSION_FLUSH,ACTIVE_CENTERED,6198.76,6160.0,86.0,Session window closed.,PRIMARY,6100.0,6160.0,6220.0,60.0,7.0,15.926,15.84,,0.086,1.0,100.0,,16.0984,19.0253,0.1724,3.1853,0.086,conservative,,
2025-06-30T19:35:00+00:00,SPX,SESSION_FLUSH,ACTIVE_CENTERED,6198.76,6175.0,87.0,Session window closed.,SUPPLEMENTAL,6115.0,6175.0,6235.0,60.0,7.0,15.926,15.84,,0.086,1.0,100.0,,16.8282,19.8839,0.9022,4.0439,0.086,conservative,,
2025-07-01T13:50:00+00:00,SPX,ENTER_PRIMARY,ACTIVE_CENTERED,6198.93,6190.0,88.0,Opened the primary butterfly corridor layer.,PRIMARY,6130.0,6190.0,6250.0,60.0,7.0,15.926,15.84,0.086,0.086,1.0,100.0,,,,,,,,,
2025-07-01T15:10:00+00:00,SPX,ADD_SUPPLEMENTAL,ACTIVE_CENTERED,6179.82,6185.0,89.0,Added a supplemental butterfly layer near the edge of the corridor.,SUPPLEMENTAL,6125.0,6185.0,6245.0,60.0,7.0,15.926,15.84,0.086,0.086,1.0,100.0,,,,,,,,,
2025-07-01T19:35:00+00:00,SPX,SESSION_FLUSH,ACTIVE_CENTERED,6200.13,6190.0,88.0,Session window closed.,PRIMARY,6130.0,6190.0,6250.0,60.0,7.0,15.926,15.84,,0.086,1.0,100.0,,17.5759,20.7635,1.6499,4.9235,0.086,conservative,,
2025-07-01T19:35:00+00:00,SPX,SESSION_FLUSH,ACTIVE_CENTERED,6200.13,6185.0,89.0,Session window closed.,SUPPLEMENTAL,6125.0,6185.0,6245.0,60.0,7.0,15.926,15.84,,0.086,1.0,100.0,,17.2353,20.3628,1.3093,4.5228,0.086,conservative,,
2025-07-02T13:45:00+00:00,SPX,ENTER_PRIMARY,ACTIVE_CENTERED,6197.38,6205.0,90.0,Opened the primary butterfly corridor layer.,PRIMARY,6145.0,6205.0,6265.0,60.0,7.0,15.926,15.84,0.086,0.086,1.0,100.0,,,,,,,,,
2025-07-02T19:35:00+00:00,SPX,SESSION_FLUSH,ACTIVE_CENTERED,6220.12,6205.0,90.0,Session window closed.,PRIMARY,6145.0,6205.0,6265.0,60.0,7.0,15.926,15.84,,0.086,1.0,100.0,,17.3242,20.4674,1.3982,4.6274,0.086,conservative,,
2025-07-03T15:15:00+00:00,SPX,ENTER_PRIMARY,ACTIVE_CENTERED,6276.26,6250.0,91.0,Opened the primary butterfly corridor layer.,PRIMARY,6190.0,6250.0,6310.0,60.0,7.0,15.926,15.84,0.086,0.086,1.0,100.0,,,,,,,,,
2025-07-03T15:20:00+00:00,SPX,DRIFT_STARTED,DRIFTING,6275.35,6255.0,,Corridor drift started.,,,,,,,,,,,,,20.35,,,,,,,,
2025-07-03T15:35:00+00:00,SPX,DRIFT_RESOLVED,ACTIVE_CENTERED,6279.27,6260.0,,Drift resolved without rebuilding.,,,,,,,,,,,,,,,,,,,,,
2025-07-03T15:40:00+00:00,SPX,DRIFT_STARTED,DRIFTING,6282.45,6260.0,,Corridor drift started.,,,,,,,,,,,,,22.45,,,,,,,,
2025-07-03T15:50:00+00:00,SPX,DRIFT_RESOLVED,ACTIVE_CENTERED,6281.95,6265.0,,Drift resolved without rebuilding.,,,,,,,,,,,,,,,,,,,,,
2025-07-03T15:55:00+00:00,SPX,ADD_SUPPLEMENTAL,ACTIVE_CENTERED,6280.91,6275.0,92.0,Added a supplemental butterfly layer near the edge of the corridor.,SUPPLEMENTAL,6215.0,6275.0,6335.0,60.0,7.0,15.926,15.84,0.086,0.086,1.0,100.0,,,,,,,,,
2025-07-07T13:30:00+00:00,SPX,TAKE_PROFIT,ACTIVE_CENTERED,6254.14,6250.0,91.0,Primary take-profit reached.,PRIMARY,6190.0,6250.0,6310.0,60.0,7.0,15.926,15.84,,0.086,1.0,100.0,,24.2194,28.5795,8.2934,12.7395,0.086,conservative,,0.5207
2025-07-07T13:30:00+00:00,SPX,TAKE_PROFIT,ACTIVE_CENTERED,6254.14,6275.0,92.0,Primary take-profit reached.,SUPPLEMENTAL,6215.0,6275.0,6335.0,60.0,7.0,15.926,15.84,,0.086,1.0,100.0,,22.0865,26.0702,6.1605,10.2302,0.086,conservative,,0.5207
2025-07-07T13:55:00+00:00,SPX,ENTER_PRIMARY,ACTIVE_CENTERED,6258.64,6275.0,93.0,Opened the primary butterfly corridor layer.,PRIMARY,6215.0,6275.0,6335.0,60.0,7.0,15.926,15.84,0.086,0.086,1.0,100.0,,,,,,,,,
2025-07-07T14:00:00+00:00,SPX,DRIFT_STARTED,DRIFTING,6253.8,6275.0,,Corridor drift started.,,,,,,,,,,,,,21.2,,,,,,,,
2025-07-07T14:20:00+00:00,SPX,DRIFT_RESOLVED,ACTIVE_CENTERED,6254.04,6270.0,,Drift resolved without rebuilding.,,,,,,,,,,,,,,,,,,,,,
2025-07-07T14:25:00+00:00,SPX,ADD_SUPPLEMENTAL,ACTIVE_CENTERED,6252.38,6260.0,94.0,Added a supplemental butterfly layer near the edge of the corridor.,SUPPLEMENTAL,6200.0,6260.0,6320.0,60.0,7.0,15.926,15.84,0.086,0.086,1.0,100.0,,,,,,,,,
2025-07-07T14:30:00+00:00,SPX,DRIFT_STARTED,DRIFTING,6248.19,6270.0,,Corridor drift started.,,,,,,,,,,,,,21.81,,,,,,,,
2025-07-07T15:15:00+00:00,SPX,REBUILD_REQUESTED,REBUILD,6239.54,6260.0,,Requested corridor rebuild after sustained drift.,,,,,,,,,,,,,20.46,,,,,,,10.0,
2025-07-07T15:20:00+00:00,SPX,REBUILT,REBUILD,6240.08,6275.0,93.0,Removed prior layers for rebuild.,PRIMARY,6215.0,6275.0,6335.0,60.0,7.0,15.926,15.84,,0.086,1.0,100.0,,16.1007,19.028,0.1747,3.188,0.086,conservative,,
2025-07-07T15:20:00+00:00,SPX,REBUILT,REBUILD,6240.08,6260.0,94.0,Removed prior layers for rebuild.,SUPPLEMENTAL,6200.0,6260.0,6320.0,60.0,7.0,15.926,15.84,,0.086,1.0,100.0,,16.7895,19.8383,0.8635,3.9983,0.086,conservative,,
2025-07-07T15:20:00+00:00,SPX,REBUILT,ACTIVE_CENTERED,6240.08,6260.0,95.0,Established a fresh primary butterfly corridor layer.,PRIMARY,6200.0,6260.0,6320.0,60.0,7.0,15.926,15.84,0.086,0.086,1.0,100.0,,,,,,,,,
2025-07-07T15:25:00+00:00,SPX,ADD_SUPPLEMENTAL,ACTIVE_CENTERED,6242.78,6250.0,96.0,Added a supplemental butterfly layer near the edge of the corridor.,SUPPLEMENTAL,6190.0,6250.0,6310.0,60.0,7.0,15.926,15.84,0.086,0.086,1.0,100.0,,,,,,,,,
2025-07-07T16:20:00+00:00,SPX,DRIFT_STARTED,DRIFTING,6224.31,6245.0,,Corridor drift started.,,,,,,,,,,,,,20.69,,,,,,,,
2025-07-07T16:25:00+00:00,SPX,DRIFT_RESOLVED,ACTIVE_CENTERED,6227.99,6245.0,,Drift resolved without rebuilding.,,,,,,,,,,,,,,,,,,,,,
2025-07-07T16:50:00+00:00,SPX,DRIFT_STARTED,DRIFTING,6219.0,6240.0,,Corridor drift started.,,,,,,,,,,,,,21.0,,,,,,,,
2025-07-07T16:55:00+00:00,SPX,DRIFT_RESOLVED,ACTIVE_CENTERED,6220.23,6240.0,,Drift resolved without rebuilding.,,,,,,,,,,,,,,,,,,,,,
2025-07-07T17:00:00+00:00,SPX,DRIFT_STARTED,DRIFTING,6219.3,6240.0,,Corridor drift started.,,,,,,,,,,,,,20.7,,,,,,,,
