timestamp,symbol,action,state,price,center_price,layer_id,detail,kind,lower_strike,body_strike,upper_strike,width,lower_width,upper_width,wing_mode,dte,entry_cost,entry_debit,friction_cost,entry_friction_cost,entry_slippage_cost,entry_commission_cost,modeled_max_loss,contracts_per_layer,option_multiplier,primary_return_pct,close_value,gross_close_value,realized_pnl,gross_realized_pnl,close_friction_cost,close_slippage_cost,close_commission_cost,stress_profile
2026-03-18T16:55:00+00:00,SPX,TAKE_PROFIT,ACTIVE_CENTERED,6675.25,6680.0,6303,Primary take-profit reached.,PRIMARY,6600.0,6680.0,6760.0,80.0,80.0,80.0,symmetric,7,17.826,17.6,,0.226,,,,1,100,0.6641,29.6649,29.8909,11.8389,12.2909,0.226,0.2,0.026,none
2026-03-18T17:00:00+00:00,SPX,ENTER_PRIMARY,ACTIVE_CENTERED,6671.85,6680.0,6304,Opened the primary butterfly corridor layer.,PRIMARY,6600.0,6680.0,6760.0,80.0,80.0,80.0,symmetric,7,17.826,17.6,0.226,0.226,0.2,0.026,17.826,1,100,,,,,,,,,
2026-03-18T17:05:00+00:00,SPX,TAKE_PROFIT,ACTIVE_CENTERED,6668.71,6680.0,6304,Primary take-profit reached.,PRIMARY,6600.0,6680.0,6760.0,80.0,80.0,80.0,symmetric,7,17.826,17.6,,0.226,,,,1,100,0.6257,28.9803,29.2063,11.1543,11.6063,0.226,0.2,0.026,none
2026-03-18T17:10:00+00:00,SPX,ENTER_PRIMARY,ACTIVE_CENTERED,6665.4,6675.0,6305,Opened the primary butterfly corridor layer.,PRIMARY,6595.0,6675.0,6755.0,80.0,80.0,80.0,symmetric,7,17.826,17.6,0.226,0.226,0.2,0.026,17.826,1,100,,,,,,,,,
2026-03-18T17:15:00+00:00,SPX,TAKE_PROFIT,ACTIVE_CENTERED,6668.65,6675.0,6305,Primary take-profit reached.,PRIMARY,6595.0,6675.0,6755.0,80.0,80.0,80.0,symmetric,7,17.826,17.6,,0.226,,,,1,100,0.6547,29.4974,29.7234,11.6714,12.1234,0.226,0.2,0.026,none
2026-03-18T17:20:00+00:00,SPX,ENTER_PRIMARY,ACTIVE_CENTERED,6669.59,6675.0,6306,Opened the primary butterfly corridor layer.,PRIMARY,6595.0,6675.0,6755.0,80.0,80.0,80.0,symmetric,7,17.826,17.6,0.226,0.226,0.2,0.026,17.826,1,100,,,,,,,,,
2026-03-18T17:25:00+00:00,SPX,TAKE_PROFIT,ACTIVE_CENTERED,6667.47,6675.0,6306,Primary take-profit reached.,PRIMARY,6595.0,6675.0,6755.0,80.0,80.0,80.0,symmetric,7,17.826,17.6,,0.226,,,,1,100,0.6478,29.3739,29.5999,11.5479,11.9999,0.226,0.2,0.026,none
2026-03-18T17:30:00+00:00,SPX,ENTER_PRIMARY,ACTIVE_CENTERED,6668.99,6675.0,6307,Opened the primary butterfly corridor layer.,PRIMARY,6595.0,6675.0,6755.0,80.0,80.0,80.0,symmetric,7,17.826,17.6,0.226,0.226,0.2,0.026,17.826,1,100,,,,,,,,,
2026-03-18T17:35:00+00:00,SPX,TAKE_PROFIT,ACTIVE_CENTERED,6672.87,6675.0,6307,Primary take-profit reached.,PRIMARY,6595.0,6675.0,6755.0,80.0,80.0,80.0,symmetric,7,17.826,17.6,,0.226,,,,1,100,0.6795,29.9392,30.1652,12.1132,12.5652,0.226,0.2,0.026,none
2026-03-18T17:40:00+00:00,SPX,ENTER_PRIMARY,ACTIVE_CENTERED,6668.61,6675.0,6308,Opened the primary butterfly corridor layer.,PRIMARY,6595.0,6675.0,6755.0,80.0,80.0,80.0,symmetric,7,17.826,17.6,0.226,0.226,0.2,0.026,17.826,1,100,,,,,,,,,
