timestamp,symbol,action,state,price,center_price,layer_id,detail,kind,lower_strike,body_strike,upper_strike,width,dte,entry_cost,entry_debit,friction_cost,entry_friction_cost,contracts_per_layer,option_multiplier,drift_distance,drift_count,close_value,gross_close_value,realized_pnl,gross_realized_pnl,close_friction_cost,stress_profile
2025-06-13T18:30:00+00:00,SPX,REBUILT,REBUILD,5973.37,6010.0,207.0,Removed prior layers for rebuild.,SUPPLEMENTAL,5980.0,6010.0,6040.0,30.0,7.0,6.656,6.6,,0.056,1.0,100.0,,,0.0,0.0432,-6.656,-6.5568,0.056,none
2025-06-13T18:30:00+00:00,SPX,REBUILT,REBUILD,5973.37,6010.0,208.0,Removed prior layers for rebuild.,SUPPLEMENTAL,5980.0,6010.0,6040.0,30.0,7.0,6.656,6.6,,0.056,1.0,100.0,,,0.0,0.0432,-6.656,-6.5568,0.056,none
2025-06-13T18:30:00+00:00,SPX,REBUILT,ACTIVE_CENTERED,5973.37,6010.0,209.0,Established a fresh primary butterfly corridor layer.,PRIMARY,5980.0,6010.0,6040.0,30.0,7.0,6.656,6.6,0.056,0.056,1.0,100.0,,,,,,,,
2025-06-13T18:35:00+00:00,SPX,DRIFT_STARTED,DRIFTING,5967.55,6010.0,,Corridor drift started.,,,,,,,,,,,,,42.45,,,,,,,
2025-06-13T18:45:00+00:00,SPX,ABORTED,DRIFTING,5969.62,6010.0,209.0,Regime turned TREND_DOWN.,PRIMARY,5980.0,6010.0,6040.0,30.0,7.0,6.656,6.6,,0.056,1.0,100.0,,,0.0,0.0,-6.656,-6.6,0.056,none
2025-06-13T18:55:00+00:00,SPX,ENTER_PRIMARY,ACTIVE_CENTERED,5979.28,6005.0,210.0,Opened the primary butterfly corridor layer.,PRIMARY,5975.0,6005.0,6035.0,30.0,7.0,6.656,6.6,0.056,0.056,1.0,100.0,,,,,,,,
2025-06-13T19:00:00+00:00,SPX,DRIFT_STARTED,DRIFTING,5976.27,6000.0,,Corridor drift started.,,,,,,,,,,,,,23.73,,,,,,,
2025-06-13T19:25:00+00:00,SPX,REBUILD_REQUESTED,REBUILD,5970.88,5995.0,,Requested corridor rebuild after sustained drift.,,,,,,,,,,,,,24.12,6.0,,,,,,
2025-06-13T19:30:00+00:00,SPX,REBUILT,REBUILD,5969.85,6005.0,210.0,Removed prior layers for rebuild.,PRIMARY,5975.0,6005.0,6035.0,30.0,7.0,6.656,6.6,,0.056,1.0,100.0,,,0.0612,0.1172,-6.5948,-6.4828,0.056,none
2025-06-13T19:30:00+00:00,SPX,REBUILT,ACTIVE_CENTERED,5969.85,5995.0,211.0,Established a fresh primary butterfly corridor layer.,PRIMARY,5965.0,5995.0,6025.0,30.0,7.0,6.656,6.6,0.056,0.056,1.0,100.0,,,,,,,,
2025-06-13T19:35:00+00:00,SPX,SESSION_FLUSH,ACTIVE_CENTERED,5976.01,5995.0,211.0,Session window closed.,PRIMARY,5965.0,5995.0,6025.0,30.0,7.0,6.656,6.6,,0.056,1.0,100.0,,,9.327,9.383,2.671,2.783,0.056,none
2025-06-16T17:25:00+00:00,SPX,ENTER_PRIMARY,ACTIVE_CENTERED,6040.32,6040.0,212.0,Opened the primary butterfly corridor layer.,PRIMARY,6010.0,6040.0,6070.0,30.0,7.0,6.656,6.6,0.056,0.056,1.0,100.0,,,,,,,,
2025-06-16T17:50:00+00:00,SPX,ADD_SUPPLEMENTAL,ACTIVE_CENTERED,6033.92,6035.0,213.0,Added a supplemental butterfly layer near the edge of the corridor.,SUPPLEMENTAL,6005.0,6035.0,6065.0,30.0,7.0,6.656,6.6,0.056,0.056,1.0,100.0,,,,,,,,
2025-06-16T17:55:00+00:00,SPX,DRIFT_STARTED,DRIFTING,6029.97,6040.0,,Corridor drift started.,,,,,,,,,,,,,10.03,,,,,,,
2025-06-16T18:00:00+00:00,SPX,DRIFT_RESOLVED,ACTIVE_CENTERED,6032.94,6040.0,,Drift resolved without rebuilding.,,,,,,,,,,,,,,,,,,,,
2025-06-16T18:05:00+00:00,SPX,ADD_SUPPLEMENTAL,ACTIVE_CENTERED,6032.37,6035.0,214.0,Added a supplemental butterfly layer near the edge of the corridor.,SUPPLEMENTAL,6005.0,6035.0,6065.0,30.0,7.0,6.656,6.6,0.056,0.056,1.0,100.0,,,,,,,,
2025-06-16T19:35:00+00:00,SPX,SESSION_FLUSH,ACTIVE_CENTERED,6027.11,6040.0,212.0,Session window closed.,PRIMARY,6010.0,6040.0,6070.0,30.0,7.0,6.656,6.6,,0.056,1.0,100.0,,,10.0916,10.1476,3.4356,3.5476,0.056,none
2025-06-16T19:35:00+00:00,SPX,SESSION_FLUSH,ACTIVE_CENTERED,6027.11,6035.0,213.0,Session window closed.,SUPPLEMENTAL,6005.0,6035.0,6065.0,30.0,7.0,6.656,6.6,,0.056,1.0,100.0,,,10.6064,10.6624,3.9504,4.0624,0.056,none
2025-06-16T19:35:00+00:00,SPX,SESSION_FLUSH,ACTIVE_CENTERED,6027.11,6035.0,214.0,Session window closed.,SUPPLEMENTAL,6005.0,6035.0,6065.0,30.0,7.0,6.656,6.6,,0.056,1.0,100.0,,,10.5891,10.6451,3.9331,4.0451,0.056,none
2025-06-17T13:45:00+00:00,SPX,ENTER_PRIMARY,ACTIVE_CENTERED,6009.47,6030.0,215.0,Opened the primary butterfly corridor layer.,PRIMARY,6000.0,6030.0,6060.0,30.0,7.0,6.656,6.6,0.056,0.056,1.0,100.0,,,,,,,,
2025-06-17T13:50:00+00:00,SPX,DRIFT_STARTED,DRIFTING,6012.55,6030.0,,Corridor drift started.,,,,,,,,,,,,,17.45,,,,,,,
2025-06-17T14:05:00+00:00,SPX,DRIFT_RESOLVED,ACTIVE_CENTERED,6018.62,6025.0,,Drift resolved without rebuilding.,,,,,,,,,,,,,,,,,,,,
2025-06-17T14:20:00+00:00,SPX,ADD_SUPPLEMENTAL,ACTIVE_CENTERED,6018.03,6020.0,216.0,Added a supplemental butterfly layer near the edge of the corridor.,SUPPLEMENTAL,5990.0,6020.0,6050.0,30.0,7.0,6.656,6.6,0.056,0.056,1.0,100.0,,,,,,,,
2025-06-17T14:25:00+00:00,SPX,ADD_SUPPLEMENTAL,ACTIVE_CENTERED,6018.68,6020.0,217.0,Added a supplemental butterfly layer near the edge of the corridor.,SUPPLEMENTAL,5990.0,6020.0,6050.0,30.0,7.0,6.656,6.6,0.056,0.056,1.0,100.0,,,,,,,,
2025-06-17T14:40:00+00:00,SPX,DRIFT_STARTED,DRIFTING,6013.07,6025.0,,Corridor drift started.,,,,,,,,,,,,,11.93,,,,,,,
2025-06-17T14:45:00+00:00,SPX,DRIFT_RESOLVED,ACTIVE_CENTERED,6015.89,6025.0,,Drift resolved without rebuilding.,,,,,,,,,,,,,,,,,,,,
2025-06-17T16:55:00+00:00,SPX,DRIFT_STARTED,DRIFTING,6004.16,6015.0,,Corridor drift started.,,,,,,,,,,,,,10.84,,,,,,,
2025-06-17T17:00:00+00:00,SPX,DRIFT_RESOLVED,ACTIVE_CENTERED,6006.81,6015.0,,Drift resolved without rebuilding.,,,,,,,,,,,,,,,,,,,,
2025-06-17T17:15:00+00:00,SPX,DRIFT_STARTED,DRIFTING,6003.4,6015.0,,Corridor drift started.,,,,,,,,,,,,,11.6,,,,,,,
2025-06-17T17:40:00+00:00,SPX,REBUILD_REQUESTED,REBUILD,5996.1,6010.0,,Requested corridor rebuild after sustained drift.,,,,,,,,,,,,,13.9,6.0,,,,,,
2025-06-17T17:45:00+00:00,SPX,REBUILT,REBUILD,5987.64,6030.0,215.0,Removed prior layers for rebuild.,PRIMARY,6000.0,6030.0,6060.0,30.0,7.0,6.656,6.6,,0.056,1.0,100.0,,,0.0,0.0,-6.656,-6.6,0.056,none
2025-06-17T17:45:00+00:00,SPX,REBUILT,REBUILD,5987.64,6020.0,216.0,Removed prior layers for rebuild.,SUPPLEMENTAL,5990.0,6020.0,6050.0,30.0,7.0,6.656,6.6,,0.056,1.0,100.0,,,0.1973,0.2533,-6.4587,-6.3467,0.056,none
2025-06-17T17:45:00+00:00,SPX,REBUILT,REBUILD,5987.64,6020.0,217.0,Removed prior layers for rebuild.,SUPPLEMENTAL,5990.0,6020.0,6050.0,30.0,7.0,6.656,6.6,,0.056,1.0,100.0,,,0.1974,0.2534,-6.4586,-6.3466,0.056,none
2025-06-17T17:45:00+00:00,SPX,REBUILT,ACTIVE_CENTERED,5987.64,6010.0,218.0,Established a fresh primary butterfly corridor layer.,PRIMARY,5980.0,6010.0,6040.0,30.0,7.0,6.656,6.6,0.056,0.056,1.0,100.0,,,,,,,,
2025-06-17T17:50:00+00:00,SPX,DRIFT_STARTED,DRIFTING,5988.21,6010.0,,Corridor drift started.,,,,,,,,,,,,,21.79,,,,,,,
2025-06-17T18:30:00+00:00,SPX,REBUILD_REQUESTED,REBUILD,5984.85,6005.0,,Requested corridor rebuild after sustained drift.,,,,,,,,,,,,,20.15,9.0,,,,,,
2025-06-17T18:35:00+00:00,SPX,REBUILT,REBUILD,5981.19,6010.0,218.0,Removed prior layers for rebuild.,PRIMARY,5980.0,6010.0,6040.0,30.0,7.0,6.656,6.6,,0.056,1.0,100.0,,,8.3201,8.3761,1.6641,1.7761,0.056,none
2025-06-17T18:35:00+00:00,SPX,REBUILT,ACTIVE_CENTERED,5981.19,6005.0,219.0,Established a fresh primary butterfly corridor layer.,PRIMARY,5975.0,6005.0,6035.0,30.0,7.0,6.656,6.6,0.056,0.056,1.0,100.0,,,,,,,,
2025-06-17T18:40:00+00:00,SPX,DRIFT_STARTED,DRIFTING,5978.68,6000.0,,Corridor drift started.,,,,,,,,,,,,,21.32,,,,,,,
2025-06-17T19:10:00+00:00,SPX,DRIFT_RESOLVED,ACTIVE_CENTERED,5985.86,5995.0,,Drift resolved without rebuilding.,,,,,,,,,,,,,,,,,,,,
2025-06-17T19:15:00+00:00,SPX,DRIFT_STARTED,DRIFTING,5984.02,5995.0,,Corridor drift started.,,,,,,,,,,,,,10.98,,,,,,,
2025-06-17T19:20:00+00:00,SPX,DRIFT_RESOLVED,ACTIVE_CENTERED,5989.28,5995.0,,Drift resolved without rebuilding.,,,,,,,,,,,,,,,,,,,,
2025-06-17T19:25:00+00:00,SPX,ADD_SUPPLEMENTAL,ACTIVE_CENTERED,5988.85,5990.0,220.0,Added a supplemental butterfly layer near the edge of the corridor.,SUPPLEMENTAL,5960.0,5990.0,6020.0,30.0,7.0,6.656,6.6,0.056,0.056,1.0,100.0,,,,,,,,
