timestamp,symbol,action,state,price,center_price,layer_id,detail,kind,lower_strike,body_strike,upper_strike,width,lower_width,upper_width,wing_mode,dte,entry_cost,entry_debit,friction_cost,entry_friction_cost,modeled_max_loss,contracts_per_layer,option_multiplier,primary_return_pct,close_value,gross_close_value,realized_pnl,gross_realized_pnl,close_friction_cost,stress_profile,drift_distance,drift_count
2026-02-03T17:40:00+00:00,SPX,ABORTED,DRIFTING,6897.91,6950.0,1956.0,Regime turned TREND_DOWN.,PRIMARY,6850.0,6950.0,7010.0,60.0,100.0,60.0,broken_lower,7.0,12.086,12.0,,0.086,,1.0,100.0,,13.5193,15.991,1.4333,3.991,0.086,conservative,,
2026-02-04T14:50:00+00:00,SPX,ENTER_PRIMARY,ACTIVE_CENTERED,6923.9,6895.0,1957.0,Opened the primary butterfly corridor layer.,PRIMARY,6795.0,6895.0,6955.0,60.0,100.0,60.0,broken_lower,7.0,12.086,12.0,0.086,0.086,52.086,1.0,100.0,,,,,,,,,
2026-02-04T14:55:00+00:00,SPX,TAKE_PROFIT,ACTIVE_CENTERED,6902.29,6895.0,1957.0,Primary take-profit reached.,PRIMARY,6795.0,6895.0,6955.0,60.0,100.0,60.0,broken_lower,7.0,12.086,12.0,,0.086,,1.0,100.0,0.2261,14.8184,17.5194,2.7324,5.5194,0.086,conservative,,
2026-02-04T15:30:00+00:00,SPX,ENTER_PRIMARY,ACTIVE_CENTERED,6905.17,6900.0,1958.0,Opened the primary butterfly corridor layer.,PRIMARY,6800.0,6900.0,6960.0,60.0,100.0,60.0,broken_lower,7.0,12.086,12.0,0.086,0.086,52.086,1.0,100.0,,,,,,,,,
2026-02-04T15:35:00+00:00,SPX,TAKE_PROFIT,ACTIVE_CENTERED,6911.53,6900.0,1958.0,Primary take-profit reached.,PRIMARY,6800.0,6900.0,6960.0,60.0,100.0,60.0,broken_lower,7.0,12.086,12.0,,0.086,,1.0,100.0,0.2065,14.5816,17.2409,2.4956,5.2409,0.086,conservative,,
2026-02-04T15:55:00+00:00,SPX,ENTER_PRIMARY,ACTIVE_CENTERED,6906.48,6905.0,1959.0,Opened the primary butterfly corridor layer.,PRIMARY,6805.0,6905.0,6965.0,60.0,100.0,60.0,broken_lower,7.0,12.086,12.0,0.086,0.086,52.086,1.0,100.0,,,,,,,,,
2026-02-04T16:00:00+00:00,SPX,TAKE_PROFIT,ACTIVE_CENTERED,6891.79,6905.0,1959.0,Primary take-profit reached.,PRIMARY,6805.0,6905.0,6965.0,60.0,100.0,60.0,broken_lower,7.0,12.086,12.0,,0.086,,1.0,100.0,0.2231,14.7829,17.4776,2.6969,5.4776,0.086,conservative,,
2026-02-04T16:30:00+00:00,SPX,ENTER_PRIMARY,ACTIVE_CENTERED,6893.29,6910.0,1960.0,Opened the primary butterfly corridor layer.,PRIMARY,6810.0,6910.0,6970.0,60.0,100.0,60.0,broken_lower,7.0,12.086,12.0,0.086,0.086,52.086,1.0,100.0,,,,,,,,,
2026-02-04T16:35:00+00:00,SPX,TAKE_PROFIT,ACTIVE_CENTERED,6889.73,6910.0,1960.0,Primary take-profit reached.,PRIMARY,6810.0,6910.0,6970.0,60.0,100.0,60.0,broken_lower,7.0,12.086,12.0,,0.086,,1.0,100.0,0.2036,14.5463,17.1993,2.4603,5.1993,0.086,conservative,,
2026-02-04T16:55:00+00:00,SPX,ENTER_PRIMARY,ACTIVE_CENTERED,6887.71,6905.0,1961.0,Opened the primary butterfly corridor layer.,PRIMARY,6805.0,6905.0,6965.0,60.0,100.0,60.0,broken_lower,7.0,12.086,12.0,0.086,0.086,52.086,1.0,100.0,,,,,,,,,
2026-02-04T17:00:00+00:00,SPX,TAKE_PROFIT,ACTIVE_CENTERED,6889.62,6905.0,1961.0,Primary take-profit reached.,PRIMARY,6805.0,6905.0,6965.0,60.0,100.0,60.0,broken_lower,7.0,12.086,12.0,,0.086,,1.0,100.0,0.2171,14.7102,17.3921,2.6242,5.3921,0.086,conservative,,
2026-02-04T17:15:00+00:00,SPX,ENTER_PRIMARY,ACTIVE_CENTERED,6879.14,6905.0,1962.0,Opened the primary butterfly corridor layer.,PRIMARY,6805.0,6905.0,6965.0,60.0,100.0,60.0,broken_lower,7.0,12.086,12.0,0.086,0.086,52.086,1.0,100.0,,,,,,,,,
2026-02-04T17:20:00+00:00,SPX,DRIFT_STARTED,DRIFTING,6877.01,6900.0,,Corridor drift started.,,,,,,,,,,,,,,,,,,,,,,,,22.99,
