timestamp,symbol,action,state,price,center_price,layer_id,detail,kind,lower_strike,body_strike,upper_strike,width,dte,entry_cost,entry_debit,friction_cost,entry_friction_cost,contracts_per_layer,option_multiplier,primary_return_pct,close_value,gross_close_value,realized_pnl,gross_realized_pnl,close_friction_cost,stress_profile
2025-07-21T14:15:00+00:00,SPX,TAKE_PROFIT,ACTIVE_CENTERED,6326.76,6300.0,697,Primary take-profit reached.,PRIMARY,6240.0,6300.0,6360.0,60.0,7,13.256,13.2,,0.056,1,100,0.4967,19.8402,19.8962,6.5842,6.6962,0.056,none
2025-07-21T14:20:00+00:00,SPX,ENTER_PRIMARY,ACTIVE_CENTERED,6332.43,6300.0,698,Opened the primary butterfly corridor layer.,PRIMARY,6240.0,6300.0,6360.0,60.0,7,13.256,13.2,0.056,0.056,1,100,,,,,,,
2025-07-21T14:25:00+00:00,SPX,TAKE_PROFIT,ACTIVE_CENTERED,6333.74,6300.0,698,Primary take-profit reached.,PRIMARY,6240.0,6300.0,6360.0,60.0,7,13.256,13.2,,0.056,1,100,0.4414,19.1073,19.1633,5.8513,5.9633,0.056,none
2025-07-21T14:30:00+00:00,SPX,ENTER_PRIMARY,ACTIVE_CENTERED,6331.09,6305.0,699,Opened the primary butterfly corridor layer.,PRIMARY,6245.0,6305.0,6365.0,60.0,7,13.256,13.2,0.056,0.056,1,100,,,,,,,
2025-07-21T14:35:00+00:00,SPX,TAKE_PROFIT,ACTIVE_CENTERED,6330.94,6305.0,699,Primary take-profit reached.,PRIMARY,6245.0,6305.0,6365.0,60.0,7,13.256,13.2,,0.056,1,100,0.5032,19.9263,19.9823,6.6703,6.7823,0.056,none
2025-07-21T14:40:00+00:00,SPX,ENTER_PRIMARY,ACTIVE_CENTERED,6331.19,6305.0,700,Opened the primary butterfly corridor layer.,PRIMARY,6245.0,6305.0,6365.0,60.0,7,13.256,13.2,0.056,0.056,1,100,,,,,,,
2025-07-21T14:45:00+00:00,SPX,TAKE_PROFIT,ACTIVE_CENTERED,6329.64,6305.0,700,Primary take-profit reached.,PRIMARY,6245.0,6305.0,6365.0,60.0,7,13.256,13.2,,0.056,1,100,0.5135,20.0628,20.1188,6.8068,6.9188,0.056,none
2025-07-21T14:50:00+00:00,SPX,ENTER_PRIMARY,ACTIVE_CENTERED,6329.29,6310.0,701,Opened the primary butterfly corridor layer.,PRIMARY,6250.0,6310.0,6370.0,60.0,7,13.256,13.2,0.056,0.056,1,100,,,,,,,
2025-07-21T14:55:00+00:00,SPX,TAKE_PROFIT,ACTIVE_CENTERED,6331.04,6310.0,701,Primary take-profit reached.,PRIMARY,6250.0,6310.0,6370.0,60.0,7,13.256,13.2,,0.056,1,100,0.542,20.4408,20.4968,7.1848,7.2968,0.056,none
2025-07-21T15:00:00+00:00,SPX,ENTER_PRIMARY,ACTIVE_CENTERED,6331.41,6310.0,702,Opened the primary butterfly corridor layer.,PRIMARY,6250.0,6310.0,6370.0,60.0,7,13.256,13.2,0.056,0.056,1,100,,,,,,,
2025-07-21T15:05:00+00:00,SPX,TAKE_PROFIT,ACTIVE_CENTERED,6331.39,6310.0,702,Primary take-profit reached.,PRIMARY,6250.0,6310.0,6370.0,60.0,7,13.256,13.2,,0.056,1,100,0.5392,20.4041,20.4601,7.1481,7.2601,0.056,none
2025-07-21T15:10:00+00:00,SPX,ENTER_PRIMARY,ACTIVE_CENTERED,6332.48,6315.0,703,Opened the primary butterfly corridor layer.,PRIMARY,6255.0,6315.0,6375.0,60.0,7,13.256,13.2,0.056,0.056,1,100,,,,,,,
2025-07-21T15:15:00+00:00,SPX,TAKE_PROFIT,ACTIVE_CENTERED,6330.92,6315.0,703,Primary take-profit reached.,PRIMARY,6255.0,6315.0,6375.0,60.0,7,13.256,13.2,,0.056,1,100,0.5826,20.9784,21.0344,7.7224,7.8344,0.056,none
2025-07-21T15:20:00+00:00,SPX,ENTER_PRIMARY,ACTIVE_CENTERED,6333.26,6315.0,704,Opened the primary butterfly corridor layer.,PRIMARY,6255.0,6315.0,6375.0,60.0,7,13.256,13.2,0.056,0.056,1,100,,,,,,,
2025-07-21T15:25:00+00:00,SPX,TAKE_PROFIT,ACTIVE_CENTERED,6333.52,6315.0,704,Primary take-profit reached.,PRIMARY,6255.0,6315.0,6375.0,60.0,7,13.256,13.2,,0.056,1,100,0.562,20.7054,20.7614,7.4494,7.5614,0.056,none
2025-07-21T15:30:00+00:00,SPX,ENTER_PRIMARY,ACTIVE_CENTERED,6335.55,6320.0,705,Opened the primary butterfly corridor layer.,PRIMARY,6260.0,6320.0,6380.0,60.0,7,13.256,13.2,0.056,0.056,1,100,,,,,,,
2025-07-21T15:35:00+00:00,SPX,TAKE_PROFIT,ACTIVE_CENTERED,6334.14,6320.0,705,Primary take-profit reached.,PRIMARY,6260.0,6320.0,6380.0,60.0,7,13.256,13.2,,0.056,1,100,0.5967,21.1653,21.2213,7.9093,8.0213,0.056,none
2025-07-21T15:40:00+00:00,SPX,ENTER_PRIMARY,ACTIVE_CENTERED,6333.82,6320.0,706,Opened the primary butterfly corridor layer.,PRIMARY,6260.0,6320.0,6380.0,60.0,7,13.256,13.2,0.056,0.056,1,100,,,,,,,
2025-07-21T15:45:00+00:00,SPX,TAKE_PROFIT,ACTIVE_CENTERED,6334.11,6320.0,706,Primary take-profit reached.,PRIMARY,6260.0,6320.0,6380.0,60.0,7,13.256,13.2,,0.056,1,100,0.5969,21.1685,21.2245,7.9125,8.0245,0.056,none
2025-07-21T15:50:00+00:00,SPX,ENTER_PRIMARY,ACTIVE_CENTERED,6333.09,6320.0,707,Opened the primary butterfly corridor layer.,PRIMARY,6260.0,6320.0,6380.0,60.0,7,13.256,13.2,0.056,0.056,1,100,,,,,,,
2025-07-21T15:55:00+00:00,SPX,TAKE_PROFIT,ACTIVE_CENTERED,6332.49,6320.0,707,Primary take-profit reached.,PRIMARY,6260.0,6320.0,6380.0,60.0,7,13.256,13.2,,0.056,1,100,0.6097,21.3386,21.3946,8.0826,8.1946,0.056,none
2025-07-21T16:00:00+00:00,SPX,ENTER_PRIMARY,ACTIVE_CENTERED,6331.76,6325.0,708,Opened the primary butterfly corridor layer.,PRIMARY,6265.0,6325.0,6385.0,60.0,7,13.256,13.2,0.056,0.056,1,100,,,,,,,
